short_name,character,unicode
Eye-Hide,,F1FB
Eye-Show,,F1FC
FPS-240,,F1FD
FPS-960,,F1FE
Fast-Acceleration,,F1FF
Fast-Forward,,F200
Fast-Mode,,F201
Filter,,F202
Fingerprint,,F203
Fit-Width,,F204
Flag-Off,,F205
Flag,,F206
Flash-Auto,,F207
Flash-Off,,F208
Flash-On,,F209
Flashlight-Off,,F20A
Flashlight,,F20B
Folder-Add,,F20C
Folder-Junk,,F20D
Folder-Link,,F20E
Folder-Move,,F20F
Folder-Open,,F210
Folder,,F211
Font-Decrease,,F212
Font-Increase,,F213
Font-Space-Tracking-In,,F214
Font-Space-Tracking-Out,,F215
Food,,F216
Full-Screen-Zoom,,F217
GIF,,F218
Games,,F219
Gesture,,F21A
Gift,,F21B
Glance,,F21C
Globe-Add,,F21D
Globe-Desktop,,F21E
Globe-Location,,F21F
Globe-Video,,F220
Globe,,F221
Grid,,F222
Group-List,,F223
Guest,,F224
HDR,,F225
Headphones,,F226
Headset-VR,,F227
Headset,,F228
Heart,,F229
Help-Circle,,F22A
Hide-Slide,,F22B
Highlight,,F22C
History,,F22D
Home-Add-,,F22E
Home,,F22F
Hub,,F230
Image-Add,,F231
Image-Library,,F232
Image,,F233
Immersive-Reader,,F234
Important,,F235
InPrivate-Account,,F236
Incognito,,F237
Incoming-Video-Off,,F238
Incoming-Video,,F239
Info,,F23A
Inking-Tool,,F23B
Key,,F23C
Keyboard-Dock,,F23D
Keyboard-Layout-Float,,F23E
Keyboard-Layout-One-Handed-Left,,F23F
Keyboard-Layout-Resize,,F240
Keyboard-Layout-Split,,F241
Keyboard-Shift-Uppercase,,F242
Keyboard-Shift,,F243
Keyboard-Tab,,F244
Keyboard,,F245
Laptop,,F246
Lasso,,F247
Launcher-Settings,,F248
Layer,,F249
Library,,F24A
Lightbulb-Circle,,F24B
Lightbulb,,F24C
Link,,F24D
List,,F24E
Live,,F24F
Local-Language,,F250
Location-Not-Found,,F251
Location,,F252
Lock-Shield,,F253
Lock,,F254
Magic-Wand,,F255
Mail-Add,,F256
Mail-All-Accounts,,F257
Mail-All,,F258
Mail-Inbox,,F259
Mail-Move-To-Focussed,,F25A
Mail-Outbox,,F25B
Mail-Read,,F25C
Mail-Unread,,F25D
Mail-Unsubscribe,,F25E
Mail,,F25F
Malware-Detected,,F260
Manufacturer,,F261
Map,,F262
Mark-Read,,F263
Mark-Unread,,F264
Match-App-Layout,,F265
Meet-Now,,F266
Megaphone-Off,,F267
Megaphone,,F268
Mention,,F269
Mic-Off,,F26A
Mic-On,,F26B
Midi,,F26C
Missing-Metadata,,F26D
Mobile-Optimized,,F26E
More-Vertical,,F26F
More,,F270
Movies-and-TV,,F271
Multiselect,,F272
Music,,F273
My-Location,,F274
Navigation,,F275
Network-Check,,F276
New,,F277
News,,F278
None,,F279
Note,,F27A
Notebook-Error,,F27B
Notebook-Lightning,,F27C
Notebook-Question-Mark,,F27D
Notebook-Section,,F27E
Notebook-Sync,,F27F
Notebook,,F280
Notepad,,F281
Number-Row,,F282
Number-Symbol,,F283
Office-Apps,,F284
Open-Folder,,F285
Open-In-Browser,,F286
Open,,F287
Organization-Chart,,F288
